motif	motif_dir	motif_cat	GeneSymbol	edge_v	abs_edge_v	class	set
AP-1	down	bZIP	Bmp7	-5.20065945054642	5.20065945054642	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Comp	-4.37913552473488	4.37913552473488	MAPK1	p1_mapk1_mapk2
AP-1	down	bZIP	Cxxc5	-4.13924287691846	4.13924287691846	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Dbn1	-4.51243743974362	4.51243743974362	MAPK1	p1_only_mapk1
AP-1	down	bZIP	Elmo1	-4.47249898901888	4.47249898901888	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Fbln1	-4.10028890542886	4.10028890542886	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Fxyd6	-4.54959691384463	4.54959691384463	MAPK1	p1_wnt_mapk1
AP-1	down	bZIP	Gabrp	-6.47755576649368	6.47755576649368	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Hpgds	-4.04436034697675	4.04436034697675	MAPK1	p1_mapk1_mapk2
AP-1	down	bZIP	Klk7	-5.74909230029914	5.74909230029914	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Klk8	-6.00043451177402	6.00043451177402	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Limch1	-5.09151498112135	5.09151498112135	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Mamld1	-4.13924287691846	4.13924287691846	MAPK1	p1_only_mapk1
AP-1	down	bZIP	Nkd1	-5.84710040360625	5.84710040360625	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Osr2	-4.38870163770357	4.38870163770357	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Otud1	-4.09103269958161	4.09103269958161	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Pglyrp4	-4.115148017254	4.115148017254	MAPK1	p1_mapk1_mapk2
AP-1	down	bZIP	Pla2g7	-5.18422307970164	5.18422307970164	MAPK1	p1_wnt_mapk1
AP-1	down	bZIP	Ramp3	-4.26312563835158	4.26312563835158	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Smad1	-4.19517932127884	4.19517932127884	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Smo	-4.63395079019976	4.63395079019976	MAPK1	p1_wnt_mapk1
AP-1	down	bZIP	Smoc2	-5.20314825095011	5.20314825095011	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Trim62	-4.26945996352288	4.26945996352288	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Wfdc18	-4.5016894462104	4.5016894462104	MAPK1	p1_wnt_mapk1_mapk2
AP-1	down	bZIP	Wif1	-4.21581079461904	4.21581079461904	MAPK1	p1_wnt_mapk1
AP-1	up	bZIP	Abcc3	4.19422736806433	4.19422736806433	MAPK1	p5_mapk1
AP-1	up	bZIP	Acsbg1	4.04153168163306	4.04153168163306	MAPK1	p5_mapk1
AP-1	up	bZIP	Acsl5	4.0087296108049	4.0087296108049	MAPK1	p5_mapk1
AP-1	up	bZIP	Asap1	4.43004118190341	4.43004118190341	MAPK1	p5_mapk1
AP-1	up	bZIP	Casp3	4.28802414564824	4.28802414564824	MAPK1	p5_mapk1
AP-1	up	bZIP	Cldn9	5.05453141486818	5.05453141486818	MAPK1	p5_mapk1
AP-1	up	bZIP	Cxcl3	4.18588564387087	4.18588564387087	MAPK1	p5_mapk1
AP-1	up	bZIP	Def6	4.01655414265866	4.01655414265866	MAPK1	p5_mapk1
AP-1	up	bZIP	Dusp7	4.43250310889578	4.43250310889578	MAPK1	p5_mapk1
AP-1	up	bZIP	Efs	4.74641971043782	4.74641971043782	MAPK1	p5_mapk1
AP-1	up	bZIP	Eomes	5.26472055193954	5.26472055193954	MAPK1	p5_mapk1
