GeneSymbol	set	motif_dir	class	edge_v	abs_edge_v
Abcc3	p5_mapk1	up	MAPK1	4.24636829178179	4.24636829178179
Acsbg1	p5_mapk1	up	MAPK1	4.14238825871208	4.14238825871208
Acsl5	p5_mapk1	up	MAPK1	4.22244634607018	4.22244634607018
Actn1	p5_mapk1	up	MAPK1	4.30224772583225	4.30224772583225
Adssl1	p5_mapk1	up	MAPK1	4.39624007910716	4.39624007910716
Apcdd1	p1_wnt_mapk2	down	MAPK2	-4.26792951647103	4.26792951647103
Apcdd1	p1_wnt_mapk2	down	WNT	-4.1920592787845	4.1920592787845
Aplp1	p1_only_mapk1	down	MAPK1	-4.01381070026318	4.01381070026318
Aqp5	p5_mapk1	up	MAPK1	4.05831600021788	4.05831600021788
Asap1	p5_mapk1	up	MAPK1	4.38652380336504	4.38652380336504
Bmp7	p1_wnt_mapk1_mapk2	down	MAPK1	-5.25593583884246	5.25593583884246
Bmp7	p1_wnt_mapk1_mapk2	down	MAPK2	-5.1801129976776	5.1801129976776
Bmp7	p1_wnt_mapk1_mapk2	down	WNT	-5.71256317313082	5.71256317313082
Bst2	p1_only_mapk2	down	MAPK2	-4.03334211579824	4.03334211579824
Capg	p5_mapk1	up	MAPK1	4.57388232934625	4.57388232934625
Casp3	p5_mapk1	up	MAPK1	4.39527426480142	4.39527426480142
Cfap43	p5_mapk1	up	MAPK1	4.02895620816397	4.02895620816397
Cldn9	p5_mapk1	up	MAPK1	4.82641174680614	4.82641174680614
Cobll1	p5_mapk1	up	MAPK1	4.37308732693858	4.37308732693858
Comp	p1_mapk1_mapk2	down	MAPK1	-4.46498106748618	4.46498106748618
Comp	p1_mapk1_mapk2	down	MAPK2	-4.24161805822532	4.24161805822532
Csf2	p5_mapk1	up	MAPK1	4.10924374808178	4.10924374808178
Cxcl3	p5_mapk1	up	MAPK1	4.1635400567505	4.1635400567505
Cxcl5	p5_mapk1	up	MAPK1	4.04701393480294	4.04701393480294
Cxxc5	p1_wnt_mapk1_mapk2	down	MAPK1	-4.19784021690045	4.19784021690045
Cxxc5	p1_wnt_mapk1_mapk2	down	MAPK2	-4.07103746603137	4.07103746603137
Cxxc5	p1_wnt_mapk1_mapk2	down	WNT	-4.70522943263513	4.70522943263513
Dbn1	p1_only_mapk1	down	MAPK1	-4.51243743974362	4.51243743974362
Def6	p5_mapk1	up	MAPK1	4.04705209165186	4.04705209165186
Dusp7	p5_mapk1	up	MAPK1	4.20773604309277	4.20773604309277
Efs	p5_mapk1	up	MAPK1	4.77298150401645	4.77298150401645
Elmo1	p1_wnt_mapk1_mapk2	down	MAPK1	-4.44467205292197	4.44467205292197
Elmo1	p1_wnt_mapk1_mapk2	down	MAPK2	-4.28547958040274	4.28547958040274
Elmo1	p1_wnt_mapk1_mapk2	down	WNT	-4.59619742845882	4.59619742845882
Emp1	p5_mapk1	up	MAPK1	4.34332695411515	4.34332695411515
Eomes	p5_mapk1	up	MAPK1	5.29950557011046	5.29950557011046
Epha2	p5_mapk1	up	MAPK1	4.48615635957247	4.48615635957247
Eps8	p5_mapk1	up	MAPK1	4.32487653207331	4.32487653207331
