ID	set	stat	type	dir	motif_cat
Wfdc18	p1_wnt_mapk1_mapk2	-34.5108059827773	target	none	none
Smo	p1_wnt_mapk1	-25.3706626862764	target	none	none
Def6	p5_mapk1	12.8063242927716	target	none	none
Ndrg1	p5_mapk1	11.4947908298281	target	none	none
Fbln1	p1_wnt_mapk1_mapk2	-21.944414451731	target	none	none
Epha2	p5_mapk1	4.94405337376786	target	none	none
Aplp1	p1_only_mapk1	-19.0821759783225	target	none	none
Bmp7	p1_wnt_mapk1_mapk2	-49.259340586564	target	none	none
Adssl1	p5_mapk1	3.97193163857675	target	none	none
Actn1	p5_mapk1	2.43787298869225	target	none	none
Steap2	p5_mapk1	11.9183789823619	target	none	none
Eps8	p5_mapk1	4.25217105453206	target	none	none
Pacsin2	p5_mapk1	4.8627436248076	target	none	none
Krt27	p5_mapk1	26.8696751461996	target	none	none
Csf2	p5_mapk1	21.0350208347452	target	none	none
Gabrp	p1_wnt_mapk1_mapk2	-53.4172634758297	target	none	none
Wif1	p1_wnt_mapk1	-37.592868941196	target	none	none
Igfbp1	p1_wnt_mapk1_mapk2	-33.5611666999933	target	none	none
Guk1	p1_only_mapk2	-6.36371532982791	target	none	none
Abcc3	p5_mapk1	12.650408687831	target	none	none
Tnfaip2	p5_mapk1	13.6664598757986	target	none	none
Scara5	p5_mapk1	21.8140950535754	target	none	none
Efs	p5_mapk1	38.6317461765963	target	none	none
Osr2	p1_wnt_mapk1_mapk2	-28.8139166203191	target	none	none
Asap1	p5_mapk1	12.5667859018503	target	none	none
Syngr1	p5_mapk1	6.11746136145333	target	none	none
Lypd2	p5_mapk1	30.1661860772696	target	none	none
Slurp1	p5_mapk1	15.5343000994965	target	none	none
Runx1	p5_mapk1	3.97692912824125	target	none	none
Krt7	p5_mapk1	5.13121627961383	target	none	none
Krt18	p5_mapk1	2.84945252218576	target	none	none
Trip6	p5_mapk1	38.6576327675142	target	none	none
Smoc2	p1_wnt_mapk1_mapk2	-34.6673642906832	target	none	none
Pla2g7	p1_wnt_mapk1	-23.3033423559007	target	none	none
Tff2	p5_mapk1	27.6690465967723	target	none	none
Tff3	p1_wnt_mapk1_mapk2	-14.971990276967	target	none	none
Tff1	p5_mapk1	36.7758103611925	target	none	none
Proc	p5_mapk1	22.9792530896249	target	none	none
Fads3	p5_mapk1	12.1938997648308	target	none	none
Stambpl1	p5_mapk1	9.0313629347976	target	none	none
Il33	p5_mapk1	9.12438240031019	target	none	none
Acsl5	p5_mapk1	7.35964511952499	target	none	none
Rbp4	p5_mapk1	20.3044311144211	target	none	none
Soat1	p5_mapk1	9.60458043122934	target	none	none
Procr	p5_mapk1	11.8235618214504	target	none	none
Slc7a11	p5_mapk1	17.8213512565653	target	none	none
Padi2	p5_mapk1	35.9187417800719	target	none	none
Cxcl5	p5_mapk1	13.855325180833	target	none	none
Ppbp	p5_mapk1	22.7495138485602	target	none	none
Cxcl3	p5_mapk1	21.3032379822665	target	none	none
Osbpl3	p5_mapk1	5.01781833046256	target	none	none
Svopl	p1_only_mapk2	-19.8651658106107	target	none	none
