set	gene
p5_mapk1	Abcc3
p5_mapk1	Acsbg1
p5_mapk1	Acsl5
p5_mapk1	Asap1
p5_mapk1	Casp3
p5_mapk1	Cldn9
p5_mapk1	Cxcl3
p5_mapk1	Def6
p5_mapk1	Dusp7
p5_mapk1	Efs
p5_mapk1	Eomes
p5_mapk1	Epha2
p5_mapk1	Eps8
p5_mapk1	Gdpd3
p5_mapk1	Gramd4
p5_mapk1	Krt4
p5_mapk1	Krt7
p5_mapk1	Krt78
p5_mapk1	Krt79
p5_mapk1	Krt80
p5_mapk1	Lgals1
p5_mapk1	Lypd2
p5_mapk1	Myof
p5_mapk1	Ndrg1
p5_mapk1	Padi2
p5_mapk1	Proc
p5_mapk1	Procr
p5_mapk1	Prune2
p5_mapk1	Ptges
p5_mapk1	Rbp4
p5_mapk1	Spns2
p5_mapk1	Steap2
p5_mapk1	Syngr1
p5_mapk1	Tff1
p5_mapk1	Tff2
p5_mapk1	Tnfrsf26
p5_mapk1	Trip6
p5_mapk1	Aqp5
p5_mapk1	Capg
p5_mapk1	Emp1
p5_mapk1	Krt14
p5_mapk1	Krt18
p5_mapk1	Scara5
p5_mapk1	Slurp1
p5_mapk1	Tnfaip2
p5_mapk1	Adssl1
p5_mapk1	Cobll1
p5_mapk1	Il33
p5_mapk1	Me1
p5_mapk1	Osbpl3
p5_mapk1	Slc7a11
p5_mapk1	Stambpl1
p5_mapk1	Tead4
p5_mapk1	Actn1
p5_mapk1	Csf2
p5_mapk1	Fads3
p5_mapk1	Glrp1
p5_mapk1	Krt27
p5_mapk1	Pacsin2
p5_mapk1	Sh3kbp1
p5_mapk1	Cfap43
p5_mapk1	Cxcl5
p5_mapk1	Nebl
p5_mapk1	Ppbp
p5_mapk1	Runx1
p5_mapk1	Soat1
p1_only_wnt	Sp9
p1_only_mapk1	Aplp1
p1_only_mapk1	Dbn1
p1_only_mapk1	Mamld1
p1_only_mapk1	Mfap3l
p1_only_mapk1	Otop1
p1_only_mapk1	Sgsm1
p1_only_mapk1	Slc14a1
p1_only_mapk2	Bst2
p1_only_mapk2	Guk1
p1_only_mapk2	Svopl
p1_wnt_mapk1	Fxyd6
p1_wnt_mapk1	Pla2g7
p1_wnt_mapk1	Smo
p1_wnt_mapk1	Wif1
p1_wnt_mapk2	Apcdd1
p1_wnt_mapk2	Rtn4rl1
p1_wnt_mapk2	Wnt6
p1_wnt_mapk1_mapk2	Bmp7
p1_wnt_mapk1_mapk2	Cxxc5
p1_wnt_mapk1_mapk2	Elmo1
p1_wnt_mapk1_mapk2	Fbln1
p1_wnt_mapk1_mapk2	Gabrp
p1_wnt_mapk1_mapk2	Klk7
p1_wnt_mapk1_mapk2	Klk8
p1_wnt_mapk1_mapk2	Limch1
p1_wnt_mapk1_mapk2	Nkd1
p1_wnt_mapk1_mapk2	Osr2
p1_wnt_mapk1_mapk2	Otud1
p1_wnt_mapk1_mapk2	Ramp3
p1_wnt_mapk1_mapk2	Smad1
p1_wnt_mapk1_mapk2	Smoc2
p1_wnt_mapk1_mapk2	Trim62
p1_wnt_mapk1_mapk2	Wfdc18
p1_wnt_mapk1_mapk2	Hs3st3b1
p1_wnt_mapk1_mapk2	Igfbp1
p1_wnt_mapk1_mapk2	March10
p1_wnt_mapk1_mapk2	Tff3
p1_mapk1_mapk2	Comp
p1_mapk1_mapk2	Hpgds
p1_mapk1_mapk2	Pglyrp4
