set	gene
p5_mapk	Abcc3
p5_mapk	Acsbg1
p5_mapk	Acsl5
p5_mapk	Asap1
p5_mapk	Casp3
p5_mapk	Cldn9
p5_mapk	Cxcl3
p5_mapk	Def6
p5_mapk	Dusp7
p5_mapk	Efs
p5_mapk	Eomes
p5_mapk	Epha2
p5_mapk	Eps8
p5_mapk	Gdpd3
p5_mapk	Gramd4
p5_mapk	Krt4
p5_mapk	Krt7
p5_mapk	Krt78
p5_mapk	Krt79
p5_mapk	Krt80
p5_mapk	Lgals1
p5_mapk	Lypd2
p5_mapk	Myof
p5_mapk	Ndrg1
p5_mapk	Padi2
p5_mapk	Proc
p5_mapk	Procr
p5_mapk	Prune2
p5_mapk	Ptges
p5_mapk	Rbp4
p5_mapk	Spns2
p5_mapk	Steap2
p5_mapk	Syngr1
p5_mapk	Tff1
p5_mapk	Tff2
p5_mapk	Tnfrsf26
p5_mapk	Trip6
p5_mapk	Aqp5
p5_mapk	Capg
p5_mapk	Emp1
p5_mapk	Krt14
p5_mapk	Krt18
p5_mapk	Scara5
p5_mapk	Slurp1
p5_mapk	Tnfaip2
p5_mapk	Adssl1
p5_mapk	Cobll1
p5_mapk	Il33
p5_mapk	Me1
p5_mapk	Osbpl3
p5_mapk	Slc7a11
p5_mapk	Stambpl1
p5_mapk	Tead4
p5_mapk	Actn1
p5_mapk	Csf2
p5_mapk	Fads3
p5_mapk	Glrp1
p5_mapk	Krt27
p5_mapk	Pacsin2
p5_mapk	Sh3kbp1
p5_mapk	Cfap43
p5_mapk	Cxcl5
p5_mapk	Nebl
p5_mapk	Ppbp
p5_mapk	Runx1
p5_mapk	Soat1
p1_wnt	Sp9
p1_wnt	Fxyd6
p1_wnt	Pla2g7
p1_wnt	Smo
p1_wnt	Wif1
p1_wnt	Apcdd1
p1_wnt	Rtn4rl1
p1_wnt	Wnt6
p1_wnt	Bmp7
p1_wnt	Cxxc5
p1_wnt	Elmo1
p1_wnt	Fbln1
p1_wnt	Gabrp
p1_wnt	Klk7
p1_wnt	Klk8
p1_wnt	Limch1
p1_wnt	Nkd1
p1_wnt	Osr2
p1_wnt	Otud1
p1_wnt	Ramp3
p1_wnt	Smad1
p1_wnt	Smoc2
p1_wnt	Trim62
p1_wnt	Wfdc18
p1_wnt	Hs3st3b1
p1_wnt	Igfbp1
p1_wnt	March10
p1_wnt	Tff3
