set	gene
p5_mapk	DEF6
p5_mapk	CAPG
p5_mapk	SOAT1
p5_mapk	ME1
p5_mapk	OSBPL3
p5_mapk	ACTN1
p5_mapk	GRAMD4
p5_mapk	CXCL2
p5_mapk	COBLL1
p5_mapk	TRIP6
p5_mapk	LGALS1
p5_mapk	PACSIN2
p5_mapk	SYNGR1
p5_mapk	EFS
p5_mapk	PROCR
p5_mapk	GDPD3
p5_mapk	ACSBG1
p5_mapk	NDRG1
p5_mapk	PRUNE2
p5_mapk	ABCC3
p5_mapk	KRT18
p5_mapk	PROC
p5_mapk	PADI2
p5_mapk	CXCL6
p5_mapk	SLURP1
p5_mapk	EMP1
p5_mapk	KRT7
p5_mapk	IL33
p5_mapk	MYOF
p5_mapk	STAMBPL1
p5_mapk	RBP4
p5_mapk	EPHA2
p5_mapk	SH3KBP1
p5_mapk	PTGES
p5_mapk	SLC7A11
p5_mapk	EPS8
p5_mapk	ASAP1
p5_mapk	STEAP2
p5_mapk	RUNX1
p5_mapk	TFF2
p5_mapk	TFF1
p5_mapk	AQP5
p5_mapk	EOMES
p5_mapk	CXCL3
p5_mapk	CXCL5
p5_mapk	PPBP
p5_mapk	CXCL1
p5_mapk	DUSP7
p5_mapk	CASP3
p5_mapk	CSF2
p5_mapk	KRT80
p5_mapk	SCARA5
p5_mapk	KRT78
p5_mapk	KRT4
p5_mapk	KRT27
p5_mapk	SPNS2
p5_mapk	ADSSL1
p5_mapk	TNFAIP2
p5_mapk	KRT79
p5_mapk	KRT14
p5_mapk	ACSL5
p5_mapk	LYPD2
p5_mapk	CFAP43
p5_mapk	TEAD4
p5_mapk	CLDN9
p5_mapk	FADS3
p1_wnt	LIMCH1
p1_wnt	FBLN1
p1_wnt	GABRP
p1_wnt	BMP7
p1_wnt	SMOC2
p1_wnt	WNT6
p1_wnt	TRIM62
p1_wnt	RAMP3
p1_wnt	HS3ST3B1
p1_wnt	SMO
p1_wnt	KLK8
p1_wnt	FXYD6
p1_wnt	NKD1
p1_wnt	PLA2G7
p1_wnt	IGFBP1
p1_wnt	HS3ST3A1
p1_wnt	APCDD1
p1_wnt	ELMO1
p1_wnt	WIF1
p1_wnt	TFF3
p1_wnt	OSR2
p1_wnt	OTUD1
p1_wnt	KLK7
p1_wnt	SMAD1
p1_wnt	CXXC5
p1_wnt	MARCH10
p1_wnt	RTN4RL1
p1_wnt	SP9
