motif	motif_name	motif_dir	motif_cat	motif_rank	GeneSymbol	edge_v
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Smoc2	-6.26760624017703
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Gabrp	-5.66194212458024
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Car12	-5.56719099496683
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Sgsm1	-5.52461940685664
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Rasd2	-5.51812758968934
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Nkd1	-5.32808698755841
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Abcg1	-5.14539036190421
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Comp	-5.01273604587776
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Lmo1	-4.85604888357604
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Bmp7	-4.84496777120903
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Pglyrp4	-4.80382381496003
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Fxyd6	-4.80024482274653
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Gna14	-4.72056121171298
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Dbn1	-4.62708799702989
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Plekhb1	-4.56511187913268
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Wif1	-4.49620931694282
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Slc9a3	-4.47237009912866
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Ramp3	-4.45717457304082
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Plcg2	-4.41049720373624
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Lhpp	-4.34046409284578
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Cldn15	-4.33310778893346
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Smo	-4.31857784427899
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Slc30a2	-4.2539109569438
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Slc34a2	-4.21225622835353
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Fam178b	-4.20162562331844
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Ptpro	-4.19422736806433
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Col9a3	-4.18956584407733
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Tff3	-4.17334220812413
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Slc9a2	-4.16583371605738
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Enho	-4.16014501539811
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Fgf9	-4.14721513131945
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Jakmip1	-4.12291674334935
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Sema4c	-4.12027350336042
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Muc4	-4.11350927482752
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Hsd17b2	-4.09941441335004
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Smad1	-4.09431203228815
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Hspb8	-4.07696333132921
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Slc14a1	-4.07443009045662
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Limch1	-4.06828793294324
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Vangl2	-4.06788152797088
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Klk7	-4.06188073080569
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Sox7	-4.03677901347701
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Dact2	-4.00643151721027
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Ptn	-3.99225222199926
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Hpgds	-3.98632030270881
E2A	E2A_bHLH_near_PU.1_Bcell-PU.1-ChIP-Seq_GSE21512	down	bHLH	10	Gpld1	-3.96818772866963
